Department Name,Measure ID,Measure Name,Frequency,Fiscal Year,Result,Goal,Long Term Goal,Data as of Date,Frequency of Goal,Supports Goal Value,Supports Goal,Dashboard Indicator Value,Dashboard Indicator,Legend
Austin Transportation,7659,"Percent of residents ""satisfied"" or ""very satisfied"" with signal timing on major streets",Annual,2012,49.3,44,,9/30/12 0:00,Annual,0,No,0,No,
Austin Transportation,7659,"Percent of residents ""satisfied"" or ""very satisfied"" with signal timing on major streets",Annual,2013,43,48,,9/30/13 0:00,Annual,0,No,0,No,
Austin Transportation,7659,"Percent of residents ""satisfied"" or ""very satisfied"" with signal timing on major streets",Annual,2014,44,48,,9/30/14 0:00,Annual,0,No,0,No,
Austin Transportation,7659,"Percent of residents ""satisfied"" or ""very satisfied"" with signal timing on major streets",Annual,2015,40.5,44,,9/30/15 0:00,Annual,0,No,0,No,
Austin Transportation,7655,"Percent of residents ""satisfied"" or ""very satisfied"" with traffic flow on major streets",Annual,2010,27.4,39,,9/30/10 0:00,Annual,0,No,0,No,
Austin Transportation,7655,"Percent of residents ""satisfied"" or ""very satisfied"" with traffic flow on major streets",Annual,2011,28.5,39,,9/30/11 0:00,Annual,0,No,1,Yes,
Austin Transportation,7655,"Percent of residents ""satisfied"" or ""very satisfied"" with traffic flow on major streets",Annual,2012,27,39,,9/30/12 0:00,Annual,0,No,1,Yes,
Austin Transportation,7655,"Percent of residents ""satisfied"" or ""very satisfied"" with traffic flow on major streets",Annual,2013,23,39,,9/30/13 0:00,Annual,0,No,1,Yes,
Austin Transportation,7655,"Percent of residents ""satisfied"" or ""very satisfied"" with traffic flow on major streets",Annual,2014,19,39,,9/30/14 0:00,Annual,0,No,1,Yes,
Austin Transportation,7655,"Percent of residents ""satisfied"" or ""very satisfied"" with traffic flow on major streets",Annual,2015,17.2,29,,9/30/15 0:00,Annual,0,No,1,Yes,
Austin Transportation,8417,Percent of school zone indicator signals that received preventive maintenance,Annual,2015,57,33,,9/30/15 0:00,Annual,0,No,0,No,
Austin Transportation,6913,Percent of signs that are in fair to excellent condition,Annual,2010,91.5,,,9/30/10 0:00,Annual,0,No,0,No,
Austin Transportation,6913,Percent of signs that are in fair to excellent condition,Annual,2011,91.4,85,,9/30/11 0:00,Annual,0,No,0,No,
Austin Transportation,6913,Percent of signs that are in fair to excellent condition,Annual,2014,91.3,85,,9/30/14 0:00,Annual,0,No,0,No,
Austin Transportation,6913,Percent of signs that are in fair to excellent condition,Annual,2015,88.8,90,,9/30/15 0:00,Annual,0,No,0,No,
Austin Transportation,3212,Percent reduction in estimated vehicular travel time in corridors and intersections studied,Annual,2010,8.7,5,,9/30/10 0:00,Annual,0,No,0,No,
Austin Transportation,3212,Percent reduction in estimated vehicular travel time in corridors and intersections studied,Annual,2011,5.8,5,,9/30/11 0:00,Annual,0,No,0,No,
Austin Transportation,3212,Percent reduction in estimated vehicular travel time in corridors and intersections studied,Annual,2012,3.8,5,,9/30/12 0:00,Annual,0,No,0,No,
Austin Transportation,3212,Percent reduction in estimated vehicular travel time in corridors and intersections studied,Annual,2013,7.9,5,,9/30/13 0:00,Annual,0,No,0,No,
Austin Transportation,3212,Percent reduction in estimated vehicular travel time in corridors and intersections studied,Annual,2014,8.7,5,,9/30/14 0:00,Annual,0,No,0,No,
Austin Transportation,3212,Percent reduction in estimated vehicular travel time in corridors and intersections studied,Annual,2015,16,5,,9/30/15 0:00,Annual,0,No,0,No,
Austin Transportation,8200,Percentage of fatality studies completed,Annual,2015,100,100,,9/30/15 0:00,Annual,0,No,0,No,
Austin Water,7067,Dollar amount of revenue recovered,Annual,2010,3484545,2000000,,9/30/10 0:00,Annual,0,No,0,No,
Austin Water,7067,Dollar amount of revenue recovered,Annual,2011,1569225,2000000,,9/30/11 0:00,Annual,0,No,0,No,
Austin Water,7067,Dollar amount of revenue recovered,Annual,2012,544610,3000000,,9/30/12 0:00,Annual,0,No,0,No,
Austin Water,7067,Dollar amount of revenue recovered,Annual,2013,2246524,3000000,,9/30/13 0:00,Annual,0,No,0,No,
Austin Water,7067,Dollar amount of revenue recovered,Annual,2014,2205378,3000000,,9/30/14 0:00,Annual,1,Yes,0,No,
Austin Water,7067,Dollar amount of revenue recovered,Annual,2015,3330623,2500000,,9/30/15 0:00,Annual,1,Yes,0,No,
Austin Water,3861,Drinking Water Quality: Turbidity,Annual,2010,0.09,0.1,,9/30/10 0:00,Annual,0,No,0,No,
Austin Water,3861,Drinking Water Quality: Turbidity,Annual,2011,0.07,0.1,,9/30/11 0:00,Annual,0,No,1,Yes,
Austin Water,3861,Drinking Water Quality: Turbidity,Annual,2012,0.09,0.1,,9/30/12 0:00,Annual,0,No,1,Yes,
Austin Water,3861,Drinking Water Quality: Turbidity,Annual,2013,0.09,0.1,,9/30/13 0:00,Annual,0,No,1,Yes,
Austin Water,3861,Drinking Water Quality: Turbidity,Annual,2014,0.11,0.1,,9/30/14 0:00,Annual,0,No,1,Yes,
Austin Water,3861,Drinking Water Quality: Turbidity,Annual,2015,0.08,0.1,,9/30/15 0:00,Annual,1,Yes,1,Yes,
Austin Water,8128,Number of reportable wastewater overflows per 100 miles of wastewater lines per year,Annual,2012,2.41,,,9/30/12 0:00,Annual,0,No,0,No,
Austin Water,8128,Number of reportable wastewater overflows per 100 miles of wastewater lines per year,Annual,2013,2.32,,,9/30/13 0:00,Annual,0,No,0,No,
Austin Water,8128,Number of reportable wastewater overflows per 100 miles of wastewater lines per year,Annual,2014,3.03,3,1,9/30/14 0:00,Annual,0,No,0,No,
Austin Water,8128,Number of reportable wastewater overflows per 100 miles of wastewater lines per year,Annual,2015,3.04,3,1,9/30/15 0:00,Annual,0,No,0,No,
Austin Water,6561,Percent Invested in Capital Improvements Program (CIP) Projects compared to Planned Spending via the CIP Budget,Annual,2010,67.34,90,,9/30/10 0:00,Annual,0,No,0,No,
Austin Water,6561,Percent Invested in Capital Improvements Program (CIP) Projects compared to Planned Spending via the CIP Budget,Annual,2011,89.83,90,,9/30/11 0:00,Annual,1,Yes,0,No,
Austin Water,6561,Percent Invested in Capital Improvements Program (CIP) Projects compared to Planned Spending via the CIP Budget,Annual,2012,92.64,90,,9/30/12 0:00,Annual,1,Yes,0,No,
Austin Water,6561,Percent Invested in Capital Improvements Program (CIP) Projects compared to Planned Spending via the CIP Budget,Annual,2013,90.7,90,,9/30/13 0:00,Annual,1,Yes,0,No,
Austin Water,6561,Percent Invested in Capital Improvements Program (CIP) Projects compared to Planned Spending via the CIP Budget,Annual,2014,85.2,90,,9/30/14 0:00,Annual,1,Yes,0,No,
Austin Water,6561,Percent Invested in Capital Improvements Program (CIP) Projects compared to Planned Spending via the CIP Budget,Annual,2015,65.74,90,,9/30/15 0:00,Annual,1,Yes,0,No,
Austin Water,8238,Percent of priority 1 leaks responded to within 3 hours,Annual,2011,86.42,,,9/30/11 0:00,Annual,0,No,0,No,
Austin Water,8238,Percent of priority 1 leaks responded to within 3 hours,Annual,2012,88.76,,,9/30/12 0:00,Annual,0,No,0,No,
Austin Water,8238,Percent of priority 1 leaks responded to within 3 hours,Annual,2013,86.88,,,9/30/13 0:00,Annual,0,No,0,No,
Austin Water,8238,Percent of priority 1 leaks responded to within 3 hours,Annual,2014,89.78,90,,9/30/14 0:00,Annual,0,No,0,No,
Austin Water,8238,Percent of priority 1 leaks responded to within 3 hours,Annual,2015,88.8,90,,9/30/15 0:00,Annual,0,No,0,No,
Austin Water,7066,Total pumpage per capita per day,Annual,2010,135.41,,,9/30/10 0:00,Annual,0,No,0,No,
Austin Water,7066,Total pumpage per capita per day,Annual,2011,162,155,,9/30/11 0:00,Annual,0,No,0,No,
Austin Water,7066,Total pumpage per capita per day,Annual,2012,142.16,155,,9/30/12 0:00,Annual,0,No,0,No,
Austin Water,7066,Total pumpage per capita per day,Annual,2013,136,156,,9/30/13 0:00,Annual,0,No,0,No,
Austin Water,7066,Total pumpage per capita per day,Annual,2014,125,140,,9/30/14 0:00,Annual,0,No,0,No,
Austin Water,7066,Total pumpage per capita per day,Annual,2015,122,125,,9/30/15 0:00,Annual,0,No,0,No,
Austin Water,3862,Wastewater Quality: Carbonaceous Biochemical Oxygen Demand (CBOD),Annual,2010,2.14,3,,9/30/10 0:00,Annual,0,No,0,No,
Austin Water,3862,Wastewater Quality: Carbonaceous Biochemical Oxygen Demand (CBOD),Annual,2011,2.24,3,,9/30/11 0:00,Annual,0,No,0,No,
Austin Water,3862,Wastewater Quality: Carbonaceous Biochemical Oxygen Demand (CBOD),Annual,2012,2.17,3,,9/30/12 0:00,Annual,0,No,0,No,
Austin Water,3862,Wastewater Quality: Carbonaceous Biochemical Oxygen Demand (CBOD),Annual,2013,2.1,3,,9/30/13 0:00,Annual,0,No,0,No,
Austin Water,3862,Wastewater Quality: Carbonaceous Biochemical Oxygen Demand (CBOD),Annual,2014,2.15,3,,9/30/14 0:00,Annual,0,No,0,No,
Austin Water,3862,Wastewater Quality: Carbonaceous Biochemical Oxygen Demand (CBOD),Annual,2015,2.19,3,,9/30/15 0:00,Annual,1,Yes,0,No,
Aviation,8038,Airline cost per enplaned passenger,Annual,2010,8.16,8.74,,9/30/10 0:00,Annual,0,No,0,No,
Aviation,8038,Airline cost per enplaned passenger,Annual,2011,8.24,9.26,,9/30/11 0:00,Annual,0,No,0,No,
Aviation,8038,Airline cost per enplaned passenger,Annual,2012,8.33,8.73,,9/30/12 0:00,Annual,0,No,0,No,
Aviation,8038,Airline cost per enplaned passenger,Annual,2013,8.63,8.76,,9/30/13 0:00,Annual,0,No,0,No,
Aviation,8038,Airline cost per enplaned passenger,Annual,2014,7.99,8.86,,9/30/14 0:00,Annual,0,No,0,No,
Aviation,8038,Airline cost per enplaned passenger,Annual,2015,8.12,8.55,,9/30/15 0:00,Annual,0,No,0,No,
Aviation,1067,Lost Time Injury Rate Per the Equivalent of 100 Employees,Annual,2010,0.66,0,,9/30/10 0:00,Annual,0,No,0,No,
Aviation,1067,Lost Time Injury Rate Per the Equivalent of 100 Employees,Annual,2011,2.88,0,,9/30/11 0:00,Annual,0,No,0,No,
Aviation,1067,Lost Time Injury Rate Per the Equivalent of 100 Employees,Annual,2012,0.32,0,,9/30/12 0:00,Annual,0,No,0,No,
Aviation,1067,Lost Time Injury Rate Per the Equivalent of 100 Employees,Annual,2013,0.95,1,,9/30/13 0:00,Annual,0,No,0,No,
Aviation,1067,Lost Time Injury Rate Per the Equivalent of 100 Employees,Annual,2014,0.31,1,,9/30/14 0:00,Annual,0,No,0,No,
Aviation,1067,Lost Time Injury Rate Per the Equivalent of 100 Employees,Annual,2015,0.87,1,,9/30/15 0:00,Annual,0,No,0,No,
Aviation,1046,Non-Airline revenue per enplaned passenger,Annual,2010,10.96,11.09,,9/30/10 0:00,Annual,0,No,0,No,
Aviation,1046,Non-Airline revenue per enplaned passenger,Annual,2011,11.25,11.26,,9/30/11 0:00,Annual,0,No,0,No,
Aviation,1046,Non-Airline revenue per enplaned passenger,Annual,2012,11.86,10.46,,9/30/12 0:00,Annual,0,No,0,No,
Aviation,1046,Non-Airline revenue per enplaned passenger,Annual,2013,11.99,11.79,,9/30/13 0:00,Annual,0,No,0,No,
Aviation,1046,Non-Airline revenue per enplaned passenger,Annual,2014,12.28,11.6,,9/30/14 0:00,Annual,0,No,0,No,
Aviation,1046,Non-Airline revenue per enplaned passenger,Annual,2015,12.11,12.31,,9/30/15 0:00,Annual,0,No,0,No,
Aviation,6757,"Percentage of passengers ranking overall satisfaction with the airport ""Excellent"" in the Airport Service Quality Survey",Annual,2010,53,47,,9/30/10 0:00,Annual,1,Yes,0,No,
Aviation,6757,"Percentage of passengers ranking overall satisfaction with the airport ""Excellent"" in the Airport Service Quality Survey",Annual,2011,49,47,,9/30/11 0:00,Annual,0,No,0,No,
Aviation,6757,"Percentage of passengers ranking overall satisfaction with the airport ""Excellent"" in the Airport Service Quality Survey",Annual,2012,46,48,,9/30/12 0:00,Annual,0,No,0,No,
Aviation,6757,"Percentage of passengers ranking overall satisfaction with the airport ""Excellent"" in the Airport Service Quality Survey",Annual,2013,43.25,47,,9/30/13 0:00,Annual,0,No,0,No,
Aviation,6757,"Percentage of passengers ranking overall satisfaction with the airport ""Excellent"" in the Airport Service Quality Survey",Annual,2014,45.5,44,,9/30/14 0:00,Annual,0,No,0,No,
Aviation,6757,"Percentage of passengers ranking overall satisfaction with the airport ""Excellent"" in the Airport Service Quality Survey",Annual,2015,48.75,45,,9/30/15 0:00,Annual,0,No,0,No,
Development Services,3578,Percent of building inspections performed within 24 hours of request,Annual,2010,90,95,,9/30/10 0:00,Annual,1,Yes,0,No,
Development Services,3578,Percent of building inspections performed within 24 hours of request,Annual,2011,94,90,,9/30/11 0:00,Annual,0,No,1,Yes,
Development Services,3578,Percent of building inspections performed within 24 hours of request,Annual,2012,94,95,,9/30/12 0:00,Annual,0,No,1,Yes,
Development Services,3578,Percent of building inspections performed within 24 hours of request,Annual,2013,91,95,,9/30/13 0:00,Annual,0,No,1,Yes,
Development Services,3578,Percent of building inspections performed within 24 hours of request,Annual,2014,91,95,,9/30/14 0:00,Annual,0,No,1,Yes,
Development Services,3578,Percent of building inspections performed within 24 hours of request,Annual,2015,93,90,,9/30/15 0:00,Annual,0,No,1,Yes,
Development Services,3583,Percent of initial commercial building plan reviews completed within Land Development Code mandated time of 21 days,Annual,2010,69,80,,9/30/10 0:00,Annual,0,No,0,No,
Development Services,3583,Percent of initial commercial building plan reviews completed within Land Development Code mandated time of 21 days,Annual,2011,56,80,,9/30/11 0:00,Annual,0,No,0,No,
Development Services,3583,Percent of initial commercial building plan reviews completed within Land Development Code mandated time of 21 days,Annual,2012,22,65,,9/30/12 0:00,Annual,0,No,0,No,
Development Services,3583,Percent of initial commercial building plan reviews completed within Land Development Code mandated time of 21 days,Annual,2013,25,90,,9/30/13 0:00,Annual,0,No,0,No,
Development Services,3583,Percent of initial commercial building plan reviews completed within Land Development Code mandated time of 21 days,Annual,2014,23,80,,9/30/14 0:00,Annual,0,No,0,No,
Development Services,3583,Percent of initial commercial building plan reviews completed within Land Development Code mandated time of 21 days,Annual,2015,32,35,,9/30/15 0:00,Annual,0,No,0,No,
Development Services,3647,Percent of on-time initial new residential zoning reviews,Annual,2010,65,70,,9/30/10 0:00,Annual,0,No,0,No,
Development Services,3647,Percent of on-time initial new residential zoning reviews,Annual,2011,91,70,,9/30/11 0:00,Annual,0,No,0,No,
Development Services,3647,Percent of on-time initial new residential zoning reviews,Annual,2012,84,70,,9/30/12 0:00,Annual,0,No,0,No,
Development Services,3647,Percent of on-time initial new residential zoning reviews,Annual,2013,81,81,,9/30/13 0:00,Annual,0,No,0,No,
Development Services,3647,Percent of on-time initial new residential zoning reviews,Annual,2014,38,85,,9/30/14 0:00,Annual,0,No,0,No,
Development Services,3647,Percent of on-time initial new residential zoning reviews,Annual,2015,26,25,,9/30/15 0:00,Annual,0,No,0,No,
Economic Development,1359,"Number of Austinites attending international events, networking and seminars which create opportunities for international businesses",Annual,2010,1017,200,,9/30/10 0:00,Annual,0,No,0,No,
Economic Development,1359,"Number of Austinites attending international events, networking and seminars which create opportunities for international businesses",Annual,2011,250,250,,9/30/11 0:00,Annual,0,No,0,No,
Economic Development,1359,"Number of Austinites attending international events, networking and seminars which create opportunities for international businesses",Annual,2012,281,250,,9/30/12 0:00,Annual,0,No,0,No,
Economic Development,1359,"Number of Austinites attending international events, networking and seminars which create opportunities for international businesses",Annual,2013,259,250,,9/30/13 0:00,Annual,0,No,0,No,
Economic Development,1359,"Number of Austinites attending international events, networking and seminars which create opportunities for international businesses",Annual,2014,567,250,,9/30/14 0:00,Annual,0,No,0,No,
Economic Development,1359,"Number of Austinites attending international events, networking and seminars which create opportunities for international businesses",Annual,2015,1600,250,,9/30/15 0:00,Annual,0,No,0,No,
Economic Development,8166,Number of contracts with arts professionals and arts organizations,Annual,2013,322,,,9/30/13 0:00,Annual,0,No,0,No,
Economic Development,8166,Number of contracts with arts professionals and arts organizations,Annual,2014,489,,,9/30/14 0:00,Annual,0,No,0,No,
Economic Development,8166,Number of contracts with arts professionals and arts organizations,Annual,2015,566,500,,9/30/15 0:00,Annual,0,No,0,No,
Economic Development,7926,Number of jobs created as a result of Family Business Loans,Annual,2013,0,20,,9/30/13 0:00,Annual,0,No,0,No,
Economic Development,7926,Number of jobs created as a result of Family Business Loans,Annual,2014,52,20,,9/30/14 0:00,Annual,0,No,0,No,
Economic Development,7926,Number of jobs created as a result of Family Business Loans,Annual,2015,55,125,,9/30/15 0:00,Annual,0,No,0,No,
Economic Development,1337,Number of new jobs created with public private initiatives,Annual,2010,1550,500,,9/30/10 0:00,Annual,0,No,0,No,
Economic Development,1337,Number of new jobs created with public private initiatives,Annual,2011,1689,500,,9/30/11 0:00,Annual,0,No,1,Yes,
Economic Development,1337,Number of new jobs created with public private initiatives,Annual,2012,4139,500,,9/30/12 0:00,Annual,0,No,1,Yes,
Economic Development,1337,Number of new jobs created with public private initiatives,Annual,2013,1794,500,,9/30/13 0:00,Annual,0,No,1,Yes,
Economic Development,1337,Number of new jobs created with public private initiatives,Annual,2014,2315,500,,9/30/14 0:00,Annual,0,No,1,Yes,
Economic Development,1337,Number of new jobs created with public private initiatives,Annual,2015,292,500,,9/30/15 0:00,Annual,0,No,1,Yes,
Emergency Medical Services,1400,EMS Communications Center average call processing time (in seconds),Annual,2010,68,65,,9/30/10 0:00,Annual,0,No,0,No,
Emergency Medical Services,1400,EMS Communications Center average call processing time (in seconds),Annual,2011,65,65,,9/30/11 0:00,Annual,0,No,0,No,
Emergency Medical Services,1400,EMS Communications Center average call processing time (in seconds),Annual,2012,66,60,,9/30/12 0:00,Annual,0,No,0,No,
Emergency Medical Services,1400,EMS Communications Center average call processing time (in seconds),Annual,2013,66.5,65,,9/30/13 0:00,Annual,0,No,0,No,
Emergency Medical Services,1400,EMS Communications Center average call processing time (in seconds),Annual,2014,66.71,65,,9/30/14 0:00,Annual,0,No,0,No,
Emergency Medical Services,1400,EMS Communications Center average call processing time (in seconds),Annual,2015,70.22,75,,9/30/15 0:00,Annual,1,Yes,0,No,
Emergency Medical Services,1431,Medical Priority Dispatch Protocol Compliance,Annual,2010,98.6,98.8,,9/30/10 0:00,Annual,0,No,0,No,
Emergency Medical Services,1431,Medical Priority Dispatch Protocol Compliance,Annual,2011,98.7,98.8,,9/30/11 0:00,Annual,0,No,0,No,
Emergency Medical Services,1431,Medical Priority Dispatch Protocol Compliance,Annual,2012,98.21,98.7,,9/30/12 0:00,Annual,0,No,0,No,
Emergency Medical Services,1431,Medical Priority Dispatch Protocol Compliance,Annual,2013,98.98,98.5,,9/30/13 0:00,Annual,0,No,0,No,
Emergency Medical Services,1431,Medical Priority Dispatch Protocol Compliance,Annual,2014,99.29,98.5,,9/30/14 0:00,Annual,0,No,0,No,
Emergency Medical Services,1431,Medical Priority Dispatch Protocol Compliance,Annual,2015,98.76,90,,9/30/15 0:00,Annual,1,Yes,0,No,
Emergency Medical Services,1448,Percent of patients in cardiac arrest from cardiac causes delivered to an appropriate medical facility with a return of circulation,Annual,2010,31.9,29,,9/30/10 0:00,Annual,0,No,0,No,
Emergency Medical Services,1448,Percent of patients in cardiac arrest from cardiac causes delivered to an appropriate medical facility with a return of circulation,Annual,2011,31.9,33,,9/30/11 0:00,Annual,0,No,0,No,
Emergency Medical Services,1448,Percent of patients in cardiac arrest from cardiac causes delivered to an appropriate medical facility with a return of circulation,Annual,2012,37,33,,9/30/12 0:00,Annual,0,No,0,No,
Emergency Medical Services,1448,Percent of patients in cardiac arrest from cardiac causes delivered to an appropriate medical facility with a return of circulation,Annual,2013,30.02,32,,9/30/13 0:00,Annual,0,No,0,No,
Emergency Medical Services,1448,Percent of patients in cardiac arrest from cardiac causes delivered to an appropriate medical facility with a return of circulation,Annual,2014,31.55,32,,9/30/14 0:00,Annual,0,No,0,No,
Emergency Medical Services,1448,Percent of patients in cardiac arrest from cardiac causes delivered to an appropriate medical facility with a return of circulation,Annual,2015,30.04,30,,9/30/15 0:00,Annual,1,Yes,0,No,
Emergency Medical Services,1405,Percent of potentially life-threatening calls (priority one) responded to within 9 minutes and 59 seconds within the City of Austin,Annual,2010,90.78,90,,9/30/10 0:00,Annual,0,No,0,No,
Emergency Medical Services,1405,Percent of potentially life-threatening calls (priority one) responded to within 9 minutes and 59 seconds within the City of Austin,Annual,2011,93.69,90,,9/30/11 0:00,Annual,0,No,0,No,
Emergency Medical Services,1405,Percent of potentially life-threatening calls (priority one) responded to within 9 minutes and 59 seconds within the City of Austin,Annual,2012,92.67,90,,9/30/12 0:00,Annual,0,No,0,No,
Emergency Medical Services,1405,Percent of potentially life-threatening calls (priority one) responded to within 9 minutes and 59 seconds within the City of Austin,Annual,2013,91.9,90,,9/30/13 0:00,Annual,0,No,0,No,
Emergency Medical Services,1405,Percent of potentially life-threatening calls (priority one) responded to within 9 minutes and 59 seconds within the City of Austin,Annual,2014,92.85,90,,9/30/14 0:00,Annual,0,No,1,Yes,
Emergency Medical Services,1405,Percent of potentially life-threatening calls (priority one) responded to within 9 minutes and 59 seconds within the City of Austin,Annual,2015,91.55,90,,9/30/15 0:00,Annual,1,Yes,1,Yes,
Emergency Medical Services,8229,Percent of priority one through five calls responded to on time within the City of Austin,Annual,2014,96.66,,,9/30/14 0:00,Annual,0,No,0,No,
Emergency Medical Services,8229,Percent of priority one through five calls responded to on time within the City of Austin,Annual,2015,95.8,90,,9/30/15 0:00,Annual,1,Yes,0,No,
Emergency Medical Services,8235,Percent reduction of EMS transport to hospitals of enrolled CHP Clients,Annual,2015,57,57,,9/30/15 0:00,Annual,1,Yes,0,No,
Emergency Medical Services,8231,Percentage of patients who are satisfied or very satisfied with EMS customer service,Annual,2015,97.5,95,,9/30/15 0:00,Annual,1,Yes,0,No,
Financial Services,6718,COA G.O. Bond Rating from Fitch Investors,Annual,2011,38,40,,9/30/11 0:00,Annual,0,No,1,Yes,Bond Rating
Financial Services,6718,COA G.O. Bond Rating from Fitch Investors,Annual,2012,38,38,,9/30/12 0:00,Annual,0,No,1,Yes,Bond Rating
Financial Services,6718,COA G.O. Bond Rating from Fitch Investors,Annual,2013,38,38,,9/30/13 0:00,Annual,0,No,1,Yes,Bond Rating
Financial Services,6718,COA G.O. Bond Rating from Fitch Investors,Annual,2014,38,38,,9/30/14 0:00,Annual,0,No,1,Yes,Bond Rating
Financial Services,6718,COA G.O. Bond Rating from Fitch Investors,Annual,2015,38,38,,9/30/15 0:00,Annual,0,No,1,Yes,Bond Rating
Financial Services,6716,COA G.O. Bond Rating from Moody's,Annual,2011,11,11,,9/30/11 0:00,Annual,0,No,1,Yes,Bond Rating
Financial Services,6716,COA G.O. Bond Rating from Moody's,Annual,2012,11,11,,9/30/12 0:00,Annual,0,No,1,Yes,Bond Rating
Financial Services,6716,COA G.O. Bond Rating from Moody's,Annual,2013,11,11,,9/30/13 0:00,Annual,0,No,1,Yes,Bond Rating
Financial Services,6716,COA G.O. Bond Rating from Moody's,Annual,2014,11,11,,9/30/14 0:00,Annual,0,No,1,Yes,Bond Rating
Financial Services,6716,COA G.O. Bond Rating from Moody's,Annual,2015,11,11,,9/30/15 0:00,Annual,0,No,1,Yes,Bond Rating
Financial Services,6717,COA G.O. Bond Rating from Standard & Poor's,Annual,2011,38,38,,9/30/11 0:00,Annual,0,No,1,Yes,Bond Rating
Financial Services,6717,COA G.O. Bond Rating from Standard & Poor's,Annual,2012,38,38,,9/30/12 0:00,Annual,0,No,1,Yes,Bond Rating
Financial Services,6717,COA G.O. Bond Rating from Standard & Poor's,Annual,2013,38,38,,9/30/13 0:00,Annual,0,No,1,Yes,Bond Rating
Financial Services,6717,COA G.O. Bond Rating from Standard & Poor's,Annual,2014,38,38,,9/30/14 0:00,Annual,0,No,1,Yes,Bond Rating
Financial Services,6717,COA G.O. Bond Rating from Standard & Poor's,Annual,2015,38,38,,9/30/15 0:00,Annual,0,No,1,Yes,Bond Rating
Financial Services,6715,Combined Utility System Revenue Bond Rating from Fitch,Annual,2011,42,42,,9/30/11 0:00,Annual,0,No,1,Yes,Bond Rating
Financial Services,6715,Combined Utility System Revenue Bond Rating from Fitch,Annual,2012,42,42,,9/30/12 0:00,Annual,0,No,1,Yes,Bond Rating
Financial Services,6715,Combined Utility System Revenue Bond Rating from Fitch,Annual,2013,41,42,,9/30/13 0:00,Annual,0,No,1,Yes,Bond Rating
Financial Services,6715,Combined Utility System Revenue Bond Rating from Fitch,Annual,2014,41,42,,9/30/14 0:00,Annual,0,No,1,Yes,Bond Rating
Financial Services,6715,Combined Utility System Revenue Bond Rating from Fitch,Annual,2015,41,41,,9/30/15 0:00,Annual,0,No,1,Yes,Bond Rating
Financial Services,6713,Combined Utility System Revenue Bond Rating from Moody's,Annual,2011,16,16,,9/30/11 0:00,Annual,0,No,1,Yes,Bond Rating
Financial Services,6713,Combined Utility System Revenue Bond Rating from Moody's,Annual,2012,13,16,,9/30/12 0:00,Annual,0,No,1,Yes,Bond Rating
Financial Services,6713,Combined Utility System Revenue Bond Rating from Moody's,Annual,2013,13,13,,9/30/13 0:00,Annual,0,No,1,Yes,Bond Rating
Financial Services,6713,Combined Utility System Revenue Bond Rating from Moody's,Annual,2014,13,13,,9/30/14 0:00,Annual,0,No,1,Yes,Bond Rating
Financial Services,6713,Combined Utility System Revenue Bond Rating from Moody's,Annual,2015,13,13,,9/30/15 0:00,Annual,0,No,1,Yes,Bond Rating
Financial Services,6714,Combined Utility System Revenue Bond Rating from S&P,Annual,2011,41,41,,9/30/11 0:00,Annual,0,No,1,Yes,Bond Rating
Financial Services,6714,Combined Utility System Revenue Bond Rating from S&P,Annual,2012,41,41,,9/30/12 0:00,Annual,0,No,1,Yes,Bond Rating
Financial Services,6714,Combined Utility System Revenue Bond Rating from S&P,Annual,2013,41,41,,9/30/13 0:00,Annual,0,No,1,Yes,Bond Rating
Financial Services,6714,Combined Utility System Revenue Bond Rating from S&P,Annual,2014,41,41,,9/30/14 0:00,Annual,0,No,1,Yes,Bond Rating
Financial Services,6714,Combined Utility System Revenue Bond Rating from S&P,Annual,2015,41,41,,9/30/15 0:00,Annual,0,No,1,Yes,Bond Rating
Fire,7858,Number of fire technical inspections,Annual,2013,9907,9400,,9/30/13 0:00,Annual,0,No,0,No,
Fire,7858,Number of fire technical inspections,Annual,2014,10881,10000,,9/30/14 0:00,Annual,0,No,0,No,
Fire,7858,Number of fire technical inspections,Annual,2015,13613,10500,,9/30/15 0:00,Annual,0,No,0,No,
Fire,7532,Number of free smoke alarms installed,Annual,2010,147,,,9/30/10 0:00,Annual,0,No,0,No,
Fire,7532,Number of free smoke alarms installed,Annual,2011,183,,,9/30/11 0:00,Annual,0,No,0,No,
Fire,7532,Number of free smoke alarms installed,Annual,2012,362,150,,9/30/12 0:00,Annual,0,No,0,No,
Fire,7532,Number of free smoke alarms installed,Annual,2013,1511,1095,,9/30/13 0:00,Annual,0,No,0,No,
Fire,7532,Number of free smoke alarms installed,Annual,2014,2294,2000,,9/30/14 0:00,Annual,0,No,0,No,
Fire,1556,Number of unintentional fire deaths in the past 12 months,Annual,2010,4,6,,9/30/10 0:00,Annual,0,No,0,No,
Fire,1556,Number of unintentional fire deaths in the past 12 months,Annual,2011,4,0,,9/30/11 0:00,Annual,1,Yes,0,No,
Fire,1556,Number of unintentional fire deaths in the past 12 months,Annual,2012,6,0,,9/30/12 0:00,Annual,1,Yes,0,No,
Fire,1556,Number of unintentional fire deaths in the past 12 months,Annual,2013,5,0,,9/30/13 0:00,Annual,1,Yes,0,No,
Fire,1556,Number of unintentional fire deaths in the past 12 months,Annual,2014,3,0,,9/30/14 0:00,Annual,1,Yes,0,No,
Fire,1543,Percent of arson cases cleared by arrest,Annual,2010,36,33,,9/30/10 0:00,Annual,0,No,0,No,
