ID,physicalActivity,physicalActivityPerMonth,volunteerParticipation,volunteerPerMonth,ttcTransportation,walkTransportation,driveTransportation,cycleTransportation,taxiTransportation,communityRideTransportation,wheelTransTransportation,friendsTransportation,difficultFinancial,supportSystem,postalCode,employmentStatus,sex,primaryLanguage,ageRange,minAgeRange
1266,At least once a month,1,Never,0,1,1,1,,,,,,No,Yes,M3C,Retired,Female,English,80-84 years,80
1267,At least once a month,1,At least a few times a week,8,1,1,1,1,,,,,No,Yes,M3C,Retired,Male,English,70-74 years,70
1268,At least a few times each week,8,Never,0,1,1,1,,1,,,,No,Yes,M3C,Employed part-time,Female,English,65-69 years,65
1269,At least a few times each week,8,Never,0,1,1,1,,,,,,No,No,M3C,Retired,Female,Chinese (Cantonese),65-69 years,65
1270,At least once a week,4,At least once a month,1,,,1,,,,,,No,Yes,M3C,Retired,Male,English,75-79 years,75
1271,,,At least once a month,1,1,1,,,,,,,No,Yes,M3C,Retired,Female,,85 years or older,85
1272,,,Never,0,1,1,,,,1,,,No,Yes,m3C,Retired,Female,,80-84 years,80
1273,At least a few times each week,8,At least a few times a week,8,1,,,,,1,,,No,Yes,m3c,Retired,Female,English,70-74 years,70
1274,At least a few times each week,8,Never,0,1,,,,,,,1,No,Yes,m3c,Retired,Male,English,80-84 years,80
1275,At least a few times each week,8,Never,0,1,,,,,,,,No,Yes,m3c,Retired,Male,English,85 years or older,85
1276,At least once a day,30,At least a few times a week,8,1,1,1,,,,,,Yes,No,m3c,"Unemployed, looking for work",Male,English,65-69 years,65
1277,At least a few times each week,8,At least once a month,1,1,1,,,,,,,No,,M3C,Retired,Female,Italian,70-74 years,70
1278,At least once a day,30,At least a few times a week,8,1,,1,,,,,,No,Yes,m3c,Retired,,,,
1279,At least a few times each week,8,At least once a week,4,,,1,,,,,,No,Yes,M3C,Retired,Female,English,65-69 years,65
1280,At least a few times each week,8,At least once a week,4,1,,1,,,,,,No,No,m3c,Employed full-time,Female,,55-59 years,55
1281,At least once a day,30,At least once a month,1,,,1,,,,,,,Yes,M3C,Employed full-time,Female,,Less than 54 years,54
1282,At least once a month,1,Never,0,1,,,,,,,,Yes,Yes,m3c,Retired,Male,Czech,85 years or older,85
1283,Never,0,Never,0,,,,,1,,,,No,No,M3C,Retired,Female,English,65-69 years,65
1284,Never,0,Never,0,1,1,,,,,,1,No,Yes,m3c,Unable to work for health or other reasons,Female,,60-64 years,60
1285,At least once a week,4,At least once a week,4,1,1,1,,,,,,Yes,Yes,M3C,Unable to work for health or other reasons,Female,English,60-64 years,60
1286,At least a few times each week,8,At least once a month,1,,,1,,,,,,Yes,Yes,m3c,Employed part-time,Female,,70-74 years,70
1287,At least once a day,30,At least once a month,1,,,1,,,,,,No,Yes,m3c,Retired,Female,,65-69 years,65
1288,At least once a day,30,At least once a week,4,1,1,,,,,,,No,Yes,m3c,Retired,Female,,80-84 years,80
1289,At least a few times each week,8,At least a few times a week,8,1,1,,,,,,,,No,m3c,Retired,Female,English,65-69 years,65
1290,At least once a day,30,At least once a month,1,1,1,1,,,,,,No,Yes,M3C,Retired,Male,English,75-79 years,75
1291,At least a few times each week,8,At least once a day,30,1,1,1,,,,,,No,Yes,M3C,Employed full-time,Male,English,70-74 years,70
1292,At least once a day,30,At least once a week,4,1,,,,,,,,No,Yes,M3C,Employed part-time,Male,Hindi,65-69 years,65
1293,At least once a week,4,Never,0,,,1,,,,,,No,Yes,M3C,Retired,Female,,65-69 years,65
1294,At least once a month,1,,,1,,1,,,,,,No,Yes,M3C,Retired,Female,English,75-79 years,75
1295,At least a few times each week,8,Never,0,1,1,1,,,,,,No,Yes,M3C,Retired,Female,English,80-84 years,80
1296,,,Never,0,,,1,,,,,,No,Yes,M3C,Retired,Female,English,85 years or older,85
1297,At least once a week,4,Never,0,,,1,,,,,,,Yes,M3C,Retired,Male,English,85 years or older,85
1298,At least once a day,30,At least once a month,1,,,1,,,,,,,Yes,M3C,Retired,,English,80-84 years,80
1299,Never,0,Never,0,,,,,,,,,No,No,M3C,Retired,Female,English,80-84 years,80
1300,At least a few times each week,8,Never,0,,,,,,,,1,No,Yes,M3C,Retired,Male,English,85 years or older,85
1301,At least a few times each week,8,Never,0,,,1,,1,,,,No,No,M3C,Retired,Female,English,65-69 years,65
1302,At least a few times each week,8,At least once a week,4,1,1,1,,,,,,,Yes,M3C,Retired,Female,English,75-79 years,75
1303,At least a few times each week,8,Never,0,1,,1,,,,,,No,Yes,M3C,Retired,Female,Arabic,65-69 years,65
1304,At least once a day,30,At least once a week,4,1,,,1,,,,,,No,M3C,Retired,Male,English,60-64 years,60
1305,At least once a day,30,At least once a day,30,1,,,,,1,,,Yes,Yes,M3C,Retired,Female,,65-69 years,65
1306,At least a few times each week,8,At least once a month,1,1,1,1,,,,,,No,Yes,M3C,Retired,Female,English,65-69 years,65
1307,Never,0,Never,0,,,,,,,,,Yes,Yes,M3C,Retired,Female,Korean,65-69 years,65
1308,,,At least a few times a week,8,,,1,,,,,,No,Yes,M3C,Retired,Female,English,65-69 years,65
1309,At least once a day,30,Never,0,,,1,,,,,,No,Yes,M3C,Retired,Female,English,65-69 years,65
1310,At least once a week,4,At least once a week,4,1,,,,,,,,,Yes,m3c,Unable to work for health or other reasons,Female,Greek,Less than 54 years,54
1311,Never,0,Never,0,1,1,,,1,,,1,No,Yes,M3C,Retired,Female,,70-74 years,70
1312,At least once a day,30,Never,0,,,,,,,1,,No,Yes,M3C,Retired,Female,,65-69 years,65
1313,At least once a day,30,At least a few times a week,8,1,1,,,,,,,No,Yes,M3C,Retired,Male,Tamil,75-79 years,75
1314,At least once a month,1,At least a few times a week,8,,,1,,,,,,No,Yes,M3C ,Retired,Female,English,60-64 years,60
1315,At least a few times each week,8,At least once a week,4,1,,,,,,,,No,Yes,M3C ,"Unemployed, looking for work",Female,English,70-74 years,70
1316,At least once a day,30,Never,0,,,1,,,,,,No,No,M3C ,Employed full-time,Male,English,60-64 years,60
1317,At least once a week,4,Never,0,,1,,,,,,,Yes,No,M3G,Employed full-time,Female,Other,55-59 years,55
1318,At least a few times each week,8,At least once a week,4,1,,1,,1,,,,No,,M3H,Employed full-time,Female,English,55-59 years,55
1319,At least once a day,30,At least a few times a week,8,,1,,,1,,1,1,Yes,Yes,M3H,Retired,Female,English,70-74 years,70
1320,At least a few times each week,8,At least once a week,4,1,1,1,,,,,,No,Yes,M3H,Employed full-time,Female,English,60-64 years,60
1321,Never,0,Never,0,1,,1,,,1,,,No,Yes,m3h,Retired,Female,Greek,80-84 years,80
1322,At least a few times each week,8,At least once a week,4,,,1,,,,,,No,Yes,M3H,Employed full-time,Male,English,65-69 years,65
1323,At least a few times each week,8,At least once a month,1,1,1,1,1,,,,,No,Yes,M3H,Retired,Male,English,65-69 years,65
1324,At least a few times each week,8,Never,0,,,1,,,,,1,No,Yes,M3H,Retired,Male,English,70-74 years,70
1325,At least once a week,4,At least once a week,4,,,1,,,,,,No,Yes,m3h,Employed full-time,Female,English,60-64 years,60
1326,At least a few times each week,8,At least once a month,1,,,1,,,,,,Yes,No,M3H,Employed full-time,Male,English,65-69 years,65
1327,At least a few times each week,8,At least a few times a week,8,,,1,,,,,,No,Yes,M3H,Retired,Female,English,65-69 years,65
1328,At least once a day,30,Never,0,1,1,1,,,,,,No,Yes,M3H,Retired,Female,English,60-64 years,60
1329,Never,0,Never,0,,,,,,,1,,Yes,No,M3H,Unable to work for health or other reasons,Female,English,65-69 years,65
1330,At least once a week,4,Never,0,1,1,,,,,1,,No,Yes,M3H,Unable to work for health or other reasons,Female,English,Less than 54 years,54
1331,At least once a day,30,At least once a month,1,1,1,,,,,,,No,Yes,m3h,"Unemployed, looking for work",Male,English,Less than 54 years,54
1332,At least once a day,30,At least once a month,1,1,,,,,,,,Yes,Yes,M3H,Employed full-time,Female,English,55-59 years,55
1333,Never,0,Never,0,,,,,,,1,,Yes,No,M3H,Unable to work for health or other reasons,Female,English,65-69 years,65
1334,At least once a day,30,At least once a month,1,1,1,1,,1,,,1,No,Yes,M3H,Employed full-time,Female,English,Less than 54 years,54
1335,At least a few times each week,8,Never,0,,,1,,,,,,No,Yes,M3H,Retired,Male,English,,
1336,At least once a day,30,At least once a day,30,,,,,,,1,,Yes,Yes,M3H,Retired,Female,,70-74 years,70
1337,At least once a day,30,Never,0,,,,,,,,,,Yes,M3H,Retired,Female,,,
1338,At least a few times each week,8,At least once a week,4,1,1,,,,,,1,No,Yes,m3h,Retired,Female,English,65-69 years,65
1339,At least a few times each week,8,At least once a week,4,,,1,,,,,,No,Yes,m3h,Employed full-time,Female,English,60-64 years,60
1340,At least a few times each week,8,At least a few times a week,8,1,1,1,,,,,,No,Yes,m3h,Retired,Female,English,70-74 years,70
1341,At least once a week,4,At least once a week,4,1,,1,,,,,,No,Yes,m3h,Retired,Female,English,65-69 years,65
1342,At least once a day,30,Never,0,1,1,,,,,,,No,Yes,M3H,Retired,Female,Korean,,
1343,At least once a day,30,At least once a week,4,,,1,,,,,,No,,m3h,Employed part-time,Female,,65-69 years,65
1344,Never,0,At least once a day,30,,,1,,,,,,No,Yes,m3h,Employed full-time,Female,,80-84 years,80
1345,At least once a month,1,At least once a day,30,1,,,,,1,,1,No,Yes,m3h,Retired,Female,Spanish,65-69 years,65
1346,At least once a week,4,At least once a month,1,1,,1,,,,,,Yes,Yes,m3h,Unable to work for health or other reasons,Male,,65-69 years,65
1347,At least once a day,30,At least once a month,1,1,1,1,,,,,1,Yes,Yes,m3h,Employed part-time,Male,,70-74 years,70
1348,At least a few times each week,8,At least a few times a week,8,,,1,,,,,,Yes,No,M3H,Unable to work for health or other reasons,Female,English,60-64 years,60
1349,At least a few times each week,8,At least once a month,1,,,,,,,,1,No,Yes,M3H,Employed full-time,Female,English,55-59 years,55
1350,At least a few times each week,8,Never,0,,,,,,,1,,Yes,No,m3h,Unable to work for health or other reasons,Female,Twi,55-59 years,55
1351,At least a few times each week,8,Never,0,,,,,,,1,,Yes,No,m3h,Unable to work for health or other reasons,Female,Twi,70-74 years,70
1352,At least once a day,30,Never,0,,1,1,,,,,,No,No,M3H,Retired,Female,,65-69 years,65
1353,At least once a day,30,At least a few times a week,8,,,,,,,1,,Yes,Yes,M3H,Retired,Female,,70-74 years,70
1354,At least once a day,30,Never,0,1,1,1,,,,,,No,No,M3H,Retired,Female,English,65-69 years,65
1355,At least once a day,30,At least a few times a week,8,,,,,,,1,,Yes,Yes,M3H,Retired,Female,,70-74 years,70
1356,At least once a month,1,Never,0,1,,1,,,,,,Yes,No,M3H ,Employed full-time,Female,Tagalog,Less than 54 years,54
1357,At least once a month,1,At least once a month,1,,,,,,1,,,Yes,Yes,M3H ,Retired,Male,English,65-69 years,65
1358,At least once a day,30,Never,0,1,,,,,,,,No,Yes,M3J,Retired,Male,English,65-69 years,65
1359,At least once a week,4,Never,0,,,1,,,,,,No,Yes,m3j,Retired,Female,English,75-79 years,75
1360,At least once a day,30,At least a few times a week,8,,1,1,1,,,,,No,No,M3J,Employed full-time,Transgender,English,70-74 years,70
1361,At least once a day,30,At least once a week,4,1,1,1,,,,,,No,Yes,m3j,Retired,Male,English,70-74 years,70
1362,At least once a day,30,At least once a day,30,,1,1,,,,,,Yes,Yes,M3J,Employed part-time,Female,English,55-59 years,55
1363,At least a few times each week,8,At least once a day,30,1,,,,,,,,,,M3J,Retired,,,,
1364,At least a few times each week,8,Never,0,1,1,1,,,,,,No,Yes,M3J,Retired,Female,Chinese (Cantonese),65-69 years,65
1365,At least once a month,1,Never,0,,,1,,,,,,Yes,Yes,M3J,Unable to work for health or other reasons,Female,English,65-69 years,65
1366,Never,0,At least a few times a week,8,1,,,,,,,,Yes,,m3j,Retired,Female,Tagalog,65-69 years,65
1367,At least once a day,30,At least a few times a week,8,,,1,,,,,,No,Yes,M3J,Retired,Female,English,70-74 years,70
1368,At least a few times each week,8,Never,0,1,,,,,,,,Yes,Yes,M3J,Retired,Male,English,65-69 years,65
1369,Never,0,Never,0,1,,,,,,,,No,Yes,M3J ,Unable to work for health or other reasons,Female,Tamil,65-69 years,65
1370,At least once a day,30,At least once a month,1,,,1,,,,,,No,Yes,m3k,Employed full-time,Female,English,65-69 years,65
1371,At least a few times each week,8,Never,0,1,,1,,,,,,No,Yes,M3K,Retired,Female,,55-59 years,55
1372,At least a few times each week,8,Never,0,,1,,,,,1,1,Yes,Yes,M3K,Unable to work for health or other reasons,Female,English,60-64 years,60
1373,At least once a day,30,At least a few times a week,8,,1,,,,1,,,No,Yes,M3K,Retired,Female,English,,
1374,At least once a day,30,,,,,1,,,,,,No,Yes,M3K,Retired,Male,English,85 years or older,85
1375,At least once a day,30,At least a few times a week,8,1,,1,,1,,,,No,Yes,M3K,Retired,Male,French,85 years or older,85
1376,At least once a day,30,At least once a month,1,,,1,,,,,,No,Yes,M3L,Employed full-time,Female,English,85 years or older,85
1377,At least a few times each week,8,Never,0,,,1,,,,,,No,Yes,M3L,Retired,Female,English,60-64 years,60
1378,At least a few times each week,8,At least a few times a week,8,1,1,1,1,,,,,Yes,No,m3l,Employed full-time,Male,Vietnamese,55-59 years,55
1379,At least once a month,1,Never,0,,,,,,,1,,Yes,No,m3l,Retired,Female,English,70-74 years,70
1380,At least once a month,1,At least once a month,1,,,1,,,,,,Yes,Yes,M3L,Retired,Female,Vietnamese,60-64 years,60
1381,At least a few times each week,8,Never,0,,,,,,,1,,Yes,Yes,M3L,Retired,Female,English,65-69 years,65
1382,At least once a day,30,Never,0,1,1,1,1,,,,,No,Yes,M3L,Retired,Female,,60-64 years,60
1383,At least once a month,1,Never,0,,1,1,,,,,,No,Yes,M3L,Retired,Female,English,70-74 years,70
1384,At least once a day,30,Never,0,1,,,,,,,,No,Yes,M3L,Retired,Female,English,65-69 years,65
1385,At least once a day,30,Never,0,,,,,,,,,,Yes,M3L,Retired,Female,English,65-69 years,65
1386,At least once a day,30,At least once a month,1,,,,,,,1,,No,Yes,M3L,Unable to work for health or other reasons,Male,Twi,70-74 years,70
1387,At least once a week,4,,,1,1,,,,,,,Yes,No,M3L,Retired,Male,English,70-74 years,70
1388,At least once a day,30,Never,0,,,,,,,1,,No,Yes,M3L,Retired,Female,Twi,,
1389,At least once a day,30,Never,0,1,,,,,,,,No,Yes,M3L,Retired,Female,Tagalog,70-74 years,70
1390,At least once a week,4,Never,0,1,,,1,,,,,No,Yes,M3L,Unable to work for health or other reasons,Male,Italian,60-64 years,60
1391,At least once a day,30,At least once a week,4,1,,,,,,,,No,Yes,M3L,Retired,Male,English,70-74 years,70
1392,At least once a week,4,Never,0,,,,,,,1,,,Yes,M3L,Retired,Male,English,75-79 years,75
1393,At least once a day,30,At least once a day,30,1,1,,,,,,,No,Yes,M3L,Retired,Male,English,70-74 years,70
1394,Never,0,,,1,1,,,1,,,1,,No,M3L,Retired,Female,English,85 years or older,85
1395,At least once a day,30,,,1,1,,,,,,,No,No,M3L,Retired,Female,English,65-69 years,65
1396,At least a few times each week,8,At least once a day,30,1,,,,,,,,No,Yes,M3L,Retired,Female,English,70-74 years,70
1397,At least a few times each week,8,Never,0,1,,,,,,,,No,Yes,M3L,Retired,Female,English,65-69 years,65
1398,At least once a week,4,Never,0,,,,,,,1,,No,Yes,M3L,,Female,,80-84 years,80
1399,At least once a week,4,Never,0,,,,,1,,,,No,Yes,M3L,Retired,Female,English,70-74 years,70
1400,At least once a day,30,Never,0,1,1,,,,,1,1,No,No,M3L,Retired,Female,English,80-84 years,80
1401,At least once a day,30,At least once a week,4,,,1,,,,,,Yes,Yes,M3L,Employed full-time,Male,,60-64 years,60
1402,,,Never,0,,,1,,,,,,,Yes,m3l,Retired,Female,,80-84 years,80
1403,At least once a day,30,At least once a month,1,1,,1,,,,,1,Yes,Yes,M3L,Employed part-time,Female,,55-59 years,55
1404,At least a few times each week,8,Never,0,,,1,,,,,,No,Yes,M3L,Retired,Male,,80-84 years,80
1405,At least a few times each week,8,Never,0,1,,,,1,,,,No,Yes,M3L,Retired,Female,Spanish,70-74 years,70
1406,At least once a week,4,Never,0,1,,,,,,,,No,Yes,M3L,Retired,Female,Spanish,70-74 years,70
1407,At least once a week,4,At least once a month,1,1,1,,,,,,1,No,,M3L,Retired,Female,Spanish,60-64 years,60
1408,,,,,1,,,,,,,,No,,M3L,Retired,Female,Spanish,65-69 years,65
1409,At least once a day,30,Never,0,1,,,,,,,,,Yes,M3L,Retired,Female,Spanish,70-74 years,70
1410,At least once a month,1,Never,0,1,,,,,,,,No,,M3L,Retired,Female,Spanish,70-74 years,70
1411,,,,,1,1,,,,,,1,No,,M3L,,,Spanish,,
1412,At least once a week,4,At least a few times a week,8,1,1,1,,,,,,No,Yes,m3l ,Unable to work for health or other reasons,Female,English,60-64 years,60
1413,At least a few times each week,8,At least once a month,1,1,1,,,,,,,No,Yes,M3M,Retired,Female,English,60-64 years,60
1414,At least a few times each week,8,Never,0,1,1,1,,,,,,No,Yes,m3m,Retired,Female,English,70-74 years,70
1415,At least a few times each week,8,Never,0,,,1,,,,,,No,Yes,m3m,Employed full-time,Male,Italian,Less than 54 years,54
1416,At least once a day,30,At least once a week,4,,,1,,,,,,No,No,m3m,Retired,Female,Italian,75-79 years,75
1417,At least once a week,4,At least a few times a week,8,1,,,,,,,,No,No,m3m,Retired,Male,Italian,85 years or older,85
1418,At least a few times each week,8,Never,0,,,,,,,,1,No,Yes,M3M,Unable to work for health or other reasons,Male,English,Less than 54 years,54
1419,At least a few times each week,8,At least once a week,4,,,1,,,,,,No,Yes,m3m,Retired,Female,English,65-69 years,65
1420,At least once a week,4,At least once a week,4,1,1,1,,,,,1,Yes,Yes,M3M,Employed full-time,Male,English,Less than 54 years,54
1421,At least a few times each week,8,At least a few times a week,8,,,1,,,,,,No,Yes,M3M,Employed part-time,Female,English,60-64 years,60
1422,At least once a week,4,At least once a month,1,,,1,,,,,,No,Yes,M3M,Employed full-time,Female,,60-64 years,60
1423,Never,0,Never,0,,,,,,,1,,Yes,No,m3m,"Unemployed, looking for work",Male,English,85 years or older,85
1424,At least once a week,4,At least once a week,4,1,1,,,,,,,No,Yes,M3M,Retired,Female,Spanish,60-64 years,60
1425,At least once a week,4,Never,0,1,,,,1,,,,No,Yes,M3M,Employed full-time,Female,English,65-69 years,65
1426,At least once a week,4,At least a few times a week,8,,,1,,,,,,No,Yes,M3M,Retired,Female,English,70-74 years,70
1427,At least once a week,4,Never,0,,,,,,,,1,No,Yes,M3M,Retired,Male,English,85 years or older,85
1428,At least a few times each week,8,Never,0,1,,,,,,,,Yes,No,m3m,Unable to work for health or other reasons,Female,,60-64 years,60
1429,At least a few times each week,8,Never,0,,,1,,,,,,No,Yes,M3M,Retired,Other,English,70-74 years,70
1430,At least once a day,30,At least once a month,1,1,,,,,,,,No,Yes,m3m,Employed part-time,Female,,70-74 years,70
1431,At least once a day,30,At least a few times a week,8,1,,,,,,,,No,Yes,m3m,Employed full-time,Female,,Less than 54 years,54
1432,At least once a day,30,At least once a day,30,1,1,1,,,,,,No,Yes,M3M,Employed part-time,Female,English,65-69 years,65
1433,At least once a week,4,Never,0,,,1,,,,,,No,Yes,M3M,,Male,English,85 years or older,85
1434,Never,0,At least once a month,1,,,,,1,,,1,No,Yes,M3M,Retired,Female,English,85 years or older,85
1435,At least once a week,4,At least once a week,4,1,1,1,,,,,,No,Yes,M3M,Retired,Female,English,,
1436,At least a few times each week,8,Never,0,1,,,,,,,1,No,Yes,M3M,Retired,Female,,85 years or older,85
1437,At least a few times each week,8,Never,0,1,1,1,,,,,,Yes,Yes,M3M,Retired,Female,English,65-69 years,65
1438,At least once a day,30,Never,0,,,1,,,,1,1,No,Yes,M3M,Retired,Female,English,85 years or older,85
1439,At least once a day,30,Never,0,,,,,,,,1,,Yes,M3M,Retired,Female,English,85 years or older,85
1440,At least once a day,30,At least once a week,4,1,1,,1,,,,,No,Yes,m3m,Retired,Female,,60-64 years,60
1441,At least a few times each week,8,At least once a week,4,1,1,,,,,1,1,No,Yes,M3M,Retired,Female,,70-74 years,70
1442,At least once a day,30,At least once a month,1,1,,,,,,,,Yes,Yes,M3N,Retired,Male,English,55-59 years,55
1443,At least a few times each week,8,Never,0,1,,1,,1,,,1,No,Yes,m3n,Retired,Female,English,85 years or older,85
1444,At least once a week,4,Never,0,1,1,1,,,,,,No,Yes,M3N,Employed full-time,Female,English,Less than 54 years,54
1445,At least a few times each week,8,At least once a month,1,1,1,,,,,,1,Yes,Yes,M3n,Employed full-time,Female,English,Less than 54 years,54
1446,At least once a day,30,Never,0,,,,,,,1,,No,No,M3N,Unable to work for health or other reasons,Male,English,55-59 years,55
1447,At least once a week,4,Never,0,,,1,,,,,,No,Yes,M3N,Employed full-time,Female,English,55-59 years,55
1448,Never,0,At least once a week,4,1,1,1,,,,,1,No,Yes,M3N,Unable to work for health or other reasons,Male,English,60-64 years,60
1449,At least once a day,30,At least once a week,4,1,,,,,,,,No,Yes,M3N,Retired,Female,Spanish,65-69 years,65
1450,At least a few times each week,8,Never,0,,,,,1,,,1,No,Yes,m3n,Retired,Female,English,80-84 years,80
1451,At least a few times each week,8,At least a few times a week,8,1,,,,,,,,Yes,Yes,M3N,Retired,Male,Vietnamese,70-74 years,70
1452,At least once a week,4,Never,0,,,,,,,,1,No,Yes,m3n,Retired,,,,
1453,At least once a week,4,Never,0,,,,,,,1,,No,Yes,m3n,Retired,Male,Spanish,70-74 years,70
1454,At least once a day,30,At least once a day,30,1,,,,,,,,No,Yes,m3n,Retired,Male,Spanish,65-69 years,65
1455,At least once a week,4,At least once a week,4,1,,,,,,,,No,Yes,M3N,Unable to work for health or other reasons,Male,English,60-64 years,60
1456,,,At least once a month,1,1,,,,,,,,,Yes,M3N,Retired,Female,Vietnamese,65-69 years,65
1457,At least a few times each week,8,Never,0,,1,1,,,,,,No,,m3n,Retired,Female,English,70-74 years,70
1458,Never,0,Never,0,1,,,1,,,,,,No,m3n,Retired,Male,English,70-74 years,70
1459,At least once a day,30,At least once a month,1,,,1,,,,,,No,Yes,m3n,Retired,Female,,65-69 years,65
1460,At least a few times each week,8,Never,0,1,,,,,,,,No,Yes,m3n,Retired,Female,,70-74 years,70
1461,At least a few times each week,8,At least once a month,1,,1,,,,1,,,Yes,Yes,m3n,Retired,Female,,60-64 years,60
1462,At least once a month,1,At least once a week,4,,,1,,,,,,No,Yes,m3n,Retired,Female,,85 years or older,85
1463,At least a few times each week,8,Never,0,1,1,1,,,,,,Yes,Yes,m3n,Retired,Female,,70-74 years,70
1464,At least once a day,30,At least once a week,4,,,,,,,,,Yes,Yes,m3n,Retired,Female,,65-69 years,65
1465,At least once a day,30,Never,0,,,1,,,,,,No,Yes,m3n,"Unemployed, looking for work",Male,,60-64 years,60
1466,At least a few times each week,8,At least a few times a week,8,,1,1,,,,,,No,Yes,M3N,Retired,Female,,,
1467,At least once a day,30,At least once a day,30,1,,,,,,,,Yes,Yes,m3n,Retired,Female,,70-74 years,70
1468,At least once a day,30,At least once a week,4,1,,1,,,,,,No,Yes,M3N,Retired,Male,,75-79 years,75
1469,At least once a day,30,At least a few times a week,8,,1,,,,,,,No,Yes,M3N,Retired,Female,,85 years or older,85
1470,,,Never,0,,,,,,,1,,No,Yes,M3N,Retired,Female,Spanish,80-84 years,80
1471,At least once a day,30,At least once a day,30,1,1,,,,,1,,No,Yes,M3N,Unable to work for health or other reasons,Female,,55-59 years,55
1472,At least once a day,30,Never,0,1,1,,,,,,,No,Yes,M3N,Retired,Male,Karen,65-69 years,65
1473,At least once a day,30,At least once a day,30,1,1,,,,,1,,No,Yes,M3N,Unable to work for health or other reasons,Female,,55-59 years,55
1474,At least once a day,30,Never,0,1,1,,,,,,1,No,Yes,M3N ,Employed full-time,Female,English,55-59 years,55
1475,At least once a day,30,Never,0,1,,,,,,,,Yes,Yes,m3n,Unable to work for health or other reasons,Female,Somali,55-59 years,55
1476,At least once a month,1,Never,0,1,,,,,,,1,No,Yes,M3N,Retired,Female,English,70-74 years,70
1477,At least a few times each week,8,At least once a week,4,1,1,1,,,,,,No,Yes,m3p,Retired,Female,English,65-69 years,65
1478,At least a few times each week,8,At least once a week,4,1,1,1,,,,,,No,Yes,M3P ,Retired,Female,English,80-84 years,80
1479,At least once a month,1,At least once a month,1,1,,1,,,,,,No,No,m3r,"Unemployed, looking for work",Male,English,70-74 years,70
1480,At least a few times each week,8,At least once a month,1,1,1,,,,,,,No,Yes,m3r,Retired,Male,,70-74 years,70
1481,At least once a day,30,Never,0,,1,,1,,,,,No,Yes,M3S,Employed full-time,Female,English,55-59 years,55
1482,At least a few times each week,8,Never,0,1,,1,,,,,,Yes,Yes,M3T,Retired,Female,English,60-64 years,60
1483,,,Never,0,1,,,,1,,,,Yes,Yes,M3T,Unable to work for health or other reasons,Male,English,60-64 years,60
1484,At least a few times each week,8,Never,0,1,,,,,,,,No,Yes,M3V,Retired,Female,,75-79 years,75
1485,Never,0,Never,0,1,,1,,,,,,No,Yes,M3V,Retired,Female,Chinese (Cantonese),65-69 years,65
1486,At least once a week,4,At least once a month,1,,,1,,,,,,No,Yes,m3w,Retired,Female,,65-69 years,65
1487,At least once a day,30,At least once a month,1,1,1,1,,,,,,No,Yes,M3X,Retired,Female,,70-74 years,70
1488,At least once a day,30,Never,0,1,1,,,,,,,No,Yes,m4,Retired,Male,English,65-69 years,65
1489,At least once a day,30,Never,0,,,1,,,,,,No,Yes,M4 L,Retired,Male,English,75-79 years,75
1490,At least once a week,4,At least once a week,4,1,1,1,,,,,,No,Yes,M43,Retired,Female,English,80-84 years,80
1491,At least a few times each week,8,At least once a week,4,1,,,,,,1,,Yes,Yes,M4A,Retired,Male,Other,60-64 years,60
1492,At least a few times each week,8,Never,0,,,1,,,,,,No,Yes,M4A,Employed full-time,Female,English,55-59 years,55
1493,Never,0,Never,0,1,,1,,,,,,No,Yes,M4A,Employed full-time,Female,Other,55-59 years,55
1494,At least once a day,30,At least once a week,4,,,,,1,,,1,No,Yes,M4A,Unable to work for health or other reasons,Female,English,60-64 years,60
1495,At least a few times each week,8,Never,0,1,1,1,,,,,,Yes,Yes,M4A,"Unemployed, looking for work",Male,English,65-69 years,65
1496,At least once a day,30,Never,0,1,1,,,,,,,No,Yes,m4a,Retired,Male,English,65-69 years,65
1497,At least a few times each week,8,Never,0,,1,,,,,1,,No,No,M4A,Employed full-time,Female,English,65-69 years,65
1498,At least a few times each week,8,At least once a month,1,,,,,,,1,,Yes,No,M4A,Unable to work for health or other reasons,Female,English,55-59 years,55
1499,At least once a day,30,At least once a day,30,,,,,,,1,1,No,Yes,M4A,Retired,Female,Hindi,85 years or older,85
1500,At least once a week,4,At least once a day,30,,,,,,,1,,No,Yes,m4a,Retired,Female,English,75-79 years,75
1501,At least once a week,4,At least once a week,4,1,,,,,,,,No,Yes,M4a,,Male,,70-74 years,70
1502,At least a few times each week,8,At least once a week,4,1,,1,,,,,,No,Yes,M4A,Retired,Female,French,60-64 years,60
1503,At least once a day,30,At least once a week,4,,,,1,,,,,Yes,Yes,m4a,Employed part-time,Female,Portuguese,55-59 years,55
1504,At least once a day,30,Never,0,1,1,,,1,,,,No,Yes,m4a,Retired,Male,,65-69 years,65
1505,At least once a day,30,Never,0,1,1,,,,,,,Yes,No,M4A,"Unemployed, looking for work",Male,English,60-64 years,60
1506,At least once a day,30,At least once a day,30,,,,,1,,,,,Yes,M4A,Retired,Female,,60-64 years,60
1507,Never,0,Never,0,1,,,,,,,,No,No,M4A,Retired,Female,Urdu,60-64 years,60
1508,At least once a week,4,At least once a day,30,,,,,1,,,,No,Yes,M4A,Retired,Female,,60-64 years,60
1509,At least once a day,30,Never,0,1,1,,,,,,,No,Yes,M4A,Retired,Female,,65-69 years,65
